created	author	ranking	votes	viewers	annotations	ntags	scripts	sd	tags
2013-05-06 16:37:41	236	5	1	7	0	2	1	0	<span class= inlineedit-placeholder >click to:conocimiento nuevo
2013-05-06 16:43:49	236	0	0	1	0	1	0	0	<span class= inlineedit-placeholder >click to
2013-05-06 16:49:36	236	0	0	9	0	1	1	0	<span class= inlineedit-placeholder >click to
2013-05-06 17:11:29	236	3	2	5	1	2	1	1.4142135623731	<span class= inlineedit-placeholder >click to:inteligencia colectiva
2013-05-06 17:36:00	236	4	1	5	1	2	1	0	<span class= inlineedit-placeholder >click to:aplicacion de ic
2013-05-06 18:10:04	241	5	1	10	0	1	1	0	<span class= inlineedit-placeholder >click to
2013-05-06 18:11:39	236	1	1	3	0	1	1	0	<span class= inlineedit-placeholder >click to
2013-05-06 18:42:41	236	3.5	2	5	0	1	1	2.1213203435596	<span class= inlineedit-placeholder >click to
2013-05-06 22:38:38	236	4	1	8	0	1	1	0	<span class= inlineedit-placeholder >click to
2013-05-06 23:40:47	236	3.5	2	6	1	2	1	0.70710678118655	globalización:globalización
2013-05-06 23:48:02	236	2.5	4	13	3	2	1	1.2909944487358	<span class= inlineedit-placeholder >click to:ingenieria
2013-05-07 22:12:44	241	3	1	4	1	2	1	0	<span class= inlineedit-placeholder >click to:videocapsula
2013-05-08 00:25:43	240	4	2	9	2	2	0	0	<span class= inlineedit-placeholder >click to:cscl
2013-05-08 00:39:07	240	4	1	5	1	2	0	0	<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to
2013-05-08 00:50:36	240	0	0	6	0	1	0	0	<span class= inlineedit-placeholder >click to
2013-05-08 01:22:58	238	0	0	1	0	3	0	0	<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to
2013-05-08 01:26:12	238	0	0	1	0	2	0	0	<span class= inlineedit-placeholder >click to:aplicaciones web
2013-05-08 11:10:13	231	5	1	4	1	1	1	0	<span class= inlineedit-placeholder >click to
2013-05-08 11:43:09	231	4	1	8	1	2	1	0	<span class= inlineedit-placeholder >click to:herramienta
2013-05-08 13:45:29	231	2.8	5	8	3	2	1	1.0954451150103	<span class= inlineedit-placeholder >click to:cisco
2013-05-08 14:54:43	231	4	4	8	2	2	1	0	<span class= inlineedit-placeholder >click to:smart
2013-05-08 17:29:50	231	3	2	6	0	2	1	0	multicanal:cscl
2013-05-08 23:07:32	241	1.5	2	7	2	3	1	0.70710678118655	<span class= inlineedit-placeholder >click to:gestion:ya no mas web 2.0
2013-05-09 12:18:41	232	0	0	3	0	1	0	0	<span class= inlineedit-placeholder >click to
2013-05-09 12:21:32	232	0	0	1	0	1	0	0	<span class= inlineedit-placeholder >click to
2013-05-09 12:24:36	232	2.5	2	2	0	1	0	0.70710678118655	<span class= inlineedit-placeholder >click to
2013-05-09 12:27:41	232	0	0	1	0	1	0	0	<span class= inlineedit-placeholder >click to
2013-05-09 13:32:46	245	0	0	2	0	2	0	0	<span class= inlineedit-placeholder >click to:aplicaciones web
2013-05-09 13:46:35	245	0	0	1	0	2	0	0	<span class= inlineedit-placeholder >click to:aplicaciones web
2013-05-09 20:43:54	240	0	0	1	0	1	0	0	<span class= inlineedit-placeholder >click to
2013-05-09 21:51:55	233	3	1	2	1	3	2	0	<span class= inlineedit-placeholder >click to:herramientas colaborativas:cscw
2013-05-09 22:14:13	233	1	1	3	0	2	2	0	<span class= inlineedit-placeholder >click to:groupware
2013-05-09 22:16:11	1	4	2	3	1	2	0	0	herramientas colaborativas:música
2013-05-09 22:17:47	233	5	1	2	1	2	1	0	<span class= inlineedit-placeholder >click to:cscw
2013-05-09 22:21:21	233	4	2	3	1	3	1	0	<span class= inlineedit-placeholder >click to:cscw:herramientas colaborativas
2013-05-09 22:29:39	233	3	1	2	1	3	1	0	<span class= inlineedit-placeholder >click to:herramienta colaborativa:aplicaciones web
2013-05-09 22:37:14	233	4	1	3	1	3	0	0	<span class= inlineedit-placeholder >click to:cscw:cscl
2013-05-09 22:41:33	233	4	1	4	0	0	0	0	
2013-05-10 00:07:26	240	3.5	2	7	0	0	1	0.70710678118655	
2013-05-10 00:08:38	240	0	0	4	0	0	1	0	
2013-05-10 00:22:02	240	4	1	3	0	0	0	0	
2013-05-10 00:56:36	240	0	0	1	0	1	1	0	<span class= inlineedit-placeholder >click to
2013-05-10 01:05:46	240	0	0	2	0	3	1	0	<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to
2013-05-10 01:11:26	240	0	0	2	0	2	0	0	<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to
2013-05-10 01:25:02	233	5	1	2	1	2	1	0	<span class= inlineedit-placeholder >click to:web 2.0
2013-05-10 12:32:44	240	0	0	3	0	2	0	0	<span class= inlineedit-placeholder >click to:<span class= inlineedit-placeholder >click to
