Session	Time	Date	Author	Event	Parameter	Details
1	54	2014-02-25 16:44:01	267	eComposition	265	edit/2120
2	31	2014-02-25 16:44:07	262	eComposition	262	edit/2123
11	13	2014-02-25 16:44:08	1	eComposition	261	add/2125
1	22	2014-02-25 16:44:23	267	eComposition	265	add/2126
11	18	2014-02-25 16:44:26	1	eComposition	261	edit/2125
2	43	2014-02-25 16:44:28	264	eComposition	264	edit/2124
3	44	2014-02-25 16:44:35	265	pScript	326	NA
1	13	2014-02-25 16:44:36	267	eComposition	265	edit/2126
11	18	2014-02-25 16:44:44	1	eComposition	261	edit/2125
3	13	2014-02-25 16:44:48	265	vComposition	263	NA
3	11	2014-02-25 16:44:59	265	vComposition	264	NA
2	56	2014-02-25 16:45:03	262	eComposition	262	visible/2123
2	2	2014-02-25 16:45:05	262	eComposition	262	visible/2123
3	24	2014-02-25 16:45:23	265	vComposition	261	NA
2	19	2014-02-25 16:45:24	262	eComposition	262	edit/2123
1	54	2014-02-25 16:45:30	267	eComposition	265	edit/2119
11	48	2014-02-25 16:45:32	1	eComposition	261	add/2127
1	4	2014-02-25 16:45:34	267	eComposition	265	add/2128
1	1	2014-02-25 16:45:35	267	eComposition	265	order
11	5	2014-02-25 16:45:37	1	eComposition	261	order
2	841	2014-02-25 16:45:37	268	awareness	NA	NA
2	15	2014-02-25 16:45:39	262	eComposition	262	edit/2123
2	73	2014-02-25 16:45:41	264	eComposition	264	add/2129
1	10	2014-02-25 16:45:45	267	eComposition	265	edit/2128
1	10	2014-02-25 16:45:55	267	eComposition	265	edit/2119
3	35	2014-02-25 16:45:58	265	pScript	326	NA
1	4	2014-02-25 16:45:59	267	eComposition	265	edit/2128
1	11	2014-02-25 16:46:10	267	eComposition	265	add/2130
3	18	2014-02-25 16:46:16	265	pScript	325	NA
3	0	2014-02-25 16:46:16	265	vResource	1465	NA
3	6	2014-02-25 16:46:22	265	vResource	1465	NA
2	60	2014-02-25 16:46:39	262	eComposition	262	edit/2123
3	30	2014-02-25 16:46:52	265	eComposition	263	add/2131
2	54	2014-02-25 16:47:33	262	eComposition	262	edit/2123
1	90	2014-02-25 16:47:40	267	eComposition	265	edit/2130
1	6	2014-02-25 16:47:46	267	eComposition	265	order
1	1	2014-02-25 16:47:47	267	eComposition	265	edit/2130
